gitSha,shardCount,bufferPoolSize,batchThreshold,flushIntervalMs,maxPoolSize,jvmFlags,targetRate,payloadBytes,timestamp,experiment,achievedThroughput,p50,p95,p99,p999,errorCount,repeatIndex,dequeueThroughput,explainExtra
8033887,1,4G,100,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,1000,256,2026-09-02T02:16:47.268951Z,baseline,999.98,7.439,14.399,25.359,52.511,0,0,1319.65,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=689 Extra=Using index condition
8033887,1,4G,100,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,1000,256,2026-09-02T02:18:08.364956Z,baseline,999.98,7.323,14.271,23.759,35.551,0,1,1330.62,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=616 Extra=Using index condition
8033887,1,4G,100,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,5000,256,2026-09-02T02:19:29.276994Z,baseline,4999.98,6.275,15.023,23.775,35.935,0,0,6673.33,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=1 Extra=Using index condition
8033887,1,4G,100,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,5000,256,2026-09-02T02:20:50.270625Z,baseline,4999.98,6.463,17.871,43.039,120.255,0,1,6618.33,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=4906 Extra=Using index condition
8033887,1,4G,100,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,6000,256,2026-09-02T02:22:11.514338Z,baseline,5999.97,7.503,31.231,147.327,239.615,0,0,7988.33,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=871 Extra=Using index condition
8033887,1,4G,100,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,6000,256,2026-09-02T02:23:32.589897Z,baseline,5999.97,7.159,20.607,42.495,76.735,0,1,7998.33,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=208 Extra=Using index condition
8033887,1,4G,100,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,7000,256,2026-09-02T02:24:53.630090Z,baseline,6999.97,7.187,24.831,42.783,68.799,0,0,9280.00,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=5536 Extra=Using index condition
8033887,1,4G,100,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,7000,256,2026-09-02T02:26:14.840283Z,baseline,6999.95,7.811,44.479,175.871,461.055,0,1,9338.33,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=1 Extra=Using index condition
8033887,1,4G,100,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,8000,256,2026-09-02T02:27:36.190889Z,baseline,7999.98,8.027,36.703,71.807,170.239,0,0,10651.67,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=733 Extra=Using index condition
8033887,1,4G,100,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,8000,256,2026-09-02T02:28:57.289908Z,baseline,7999.98,8.095,37.503,89.663,170.879,0,1,10671.67,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=1 Extra=Using index condition
8033887,1,4G,100,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,10000,256,2026-09-02T02:30:18.392790Z,baseline,9999.98,8.623,80.639,180.351,256.127,0,0,13320.00,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=752 Extra=Using index condition
8033887,1,4G,100,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,10000,256,2026-09-02T02:31:39.662198Z,baseline,9999.98,8.583,77.311,154.751,195.839,0,1,13281.33,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=5362 Extra=Using index condition
8033887,1,4G,10,1,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,4800,256,2026-09-02T02:33:05.859904Z,batch_sweep,4799.97,1.168,40.095,65.503,111.871,0,0,6346.67,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=5884 Extra=Using index condition
8033887,1,4G,10,1,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,4800,256,2026-09-02T02:34:26.870558Z,batch_sweep,4799.97,1.352,93.951,227.327,446.719,0,1,6372.67,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=3674 Extra=Using index condition
8033887,1,4G,10,5,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,4800,256,2026-09-02T02:35:52.837559Z,batch_sweep,4799.97,1.412,30.703,56.031,73.087,0,0,6361.67,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=2254 Extra=Using index condition
8033887,1,4G,10,5,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,4800,256,2026-09-02T02:37:13.781055Z,batch_sweep,4799.97,1.382,29.199,48.127,78.143,0,1,6371.67,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=2173 Extra=Using index condition
8033887,1,4G,10,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,4800,256,2026-09-02T02:38:39.619662Z,batch_sweep,4799.97,1.412,36.319,60.703,86.527,0,0,6339.53,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=6206 Extra=Using index condition
8033887,1,4G,10,10,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,4800,256,2026-09-02T02:40:00.644405Z,batch_sweep,4799.97,1.579,45.599,66.239,82.623,0,1,6380.65,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=1519 Extra=Using index condition
8033887,1,4G,10,50,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,4800,256,2026-09-02T02:41:26.738836Z,batch_sweep,4799.97,1.405,32.335,57.919,92.351,0,0,6353.50,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=4848 Extra=Using index condition
8033887,1,4G,10,50,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,4800,256,2026-09-02T02:42:47.700472Z,batch_sweep,4799.97,1.466,30.351,52.959,70.271,0,1,6373.33,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=2128 Extra=Using index condition
8033887,1,4G,50,1,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,4800,256,2026-09-02T02:44:13.875919Z,batch_sweep,4799.97,1.128,16.863,41.535,86.399,0,0,6353.67,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=4756 Extra=Using index condition
8033887,1,4G,50,1,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,4800,256,2026-09-02T02:45:34.927170Z,batch_sweep,4799.97,1.067,10.639,25.423,62.399,0,1,6365.00,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=4482 Extra=Using index condition
8033887,1,4G,50,5,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,4800,256,2026-09-02T02:47:01.008002Z,batch_sweep,4799.97,3.181,11.879,24.959,39.647,0,0,6378.33,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=1180 Extra=Using index condition
8033887,1,4G,50,5,20,-Xms4g -Xmx4g -XX:+UseG1GC -XX:MaxGCPauseMillis=20,4800,256,2026-09-02T02:48:21.996372Z,batch_sweep,4799.97,3.215,12.719,25.727,40.703,0,1,6403.33,type=ref key=idx_fetch_priority possible_keys=idx_fetch_priority rows=1 Extra=Using index condition
